area,check,status,expected,actual,evidence,next_action
method,power_matrix_exists,pass,docs/platforms/power_measurement_api_matrix_ko.md,exists,docs/platforms/power_measurement_api_matrix_ko.md,restore or create the power API matrix before interpreting energy rows
method,power_matrix_terms,pass,core power API/scope terms present,ok,docs/platforms/power_measurement_api_matrix_ko.md,update the matrix so final/provisional/reject semantics are explicit
platforms,static_readiness_audit,pass,0 fail rows,"rows=85, failures=0",results/summary/platform_power_readiness_audit_20260708.csv,fix profile/power/doc mismatches before new platform runs
tooling,nvidia_smi_available,pass,nvidia-smi available,/usr/lib/wsl/lib/nvidia-smi,/usr/lib/wsl/lib/nvidia-smi,"without nvidia-smi, preflight power scope metadata cannot be collected"
tooling,nvidia_smi_lists_gpu,pass,nvidia-smi -L returns at least one GPU,GPU 0: NVIDIA GeForce RTX 3090 (UUID: GPU-6176a2fd-d534-e78c-edd2-78b8db8109b0),nvidia-smi -L,run on a node with the target GPU before claiming platform results
tooling,ncu_available_for_fresh_replay,pass,ncu executable available for fresh replay,/home/bang001/miniforge3/envs/ssc21env/nsight-compute-2026.1.1/ncu,/home/bang001/miniforge3/envs/ssc21env/nsight-compute-2026.1.1/ncu,install or expose Nsight Compute CLI to run fresh NCU sidecars
tooling,experiment_binary_exists,pass,build/a100_fp16_energy_v2,exists,build/a100_fp16_energy_v2,build the harness before energy or dry-run checks
tooling,preflight_strict_selftest,pass,"preflight strict gate self-test passes for profile mismatch, NCU support, and dry-run failure cases",preflight strict gate self-test passed,scripts/preflight_gpu_support.py,fix strict preflight gate before running A100/V100/H100 command packages
tooling,goal_readiness_selftest,pass,goal readiness validator self-test passes,component goal readiness self-test passed,scripts/audit_component_goal_readiness.py,fix goal-level NCU acceptance or power-state validator regressions before claiming completion
tooling,power_api_audit_selftest,pass,"power API audit self-test passes for A100 semantics, fallback numerator, explicit measurement scope, and H100 module scope",power API measurement audit self-test passed,scripts/audit_power_api_measurements.py,fix power API matrix enforcement before accepting A100/V100/H100 energy rows
tooling,strict_summary_builder_selftest,pass,strict summary builder self-test passes for component-specific NCU artifact selection,strict component summary builder self-test passed,scripts/build_strict_component_summary.py,fix strict summary builder NCU artifact selection before building component summaries
tooling,strict_summary_audit_selftest,pass,strict summary audit self-test passes for NCU coordinate alignment and mismatch detection,strict component summary audit self-test passed,scripts/audit_strict_component_summary.py,fix strict summary audit coordinate-alignment checks before accepting NCU-backed component summaries
tooling,platform_package_gate_selftest,pass,mock package gate self-test passes,platform package gate self-test passed,scripts/selftest_platform_package_gates.py,fix audit_platform_result_package.py before trusting returned A100/V100/H100 packages
tooling,platform_manifest_selftest,pass,manifest expected-path self-test passes,platform result manifest self-test passed,scripts/write_platform_result_manifest.py,fix manifest generation before transferring external platform results
tooling,platform_gap_report_selftest,pass,package gap report self-test passes,platform package gap summarizer self-test passed,scripts/summarize_platform_package_gaps.py,fix gap report generation before triaging returned platform packages
tooling,platform_dashboard_selftest,pass,platform intake dashboard self-test passes,platform intake dashboard self-test passed,scripts/build_platform_intake_dashboard.py,fix dashboard generation before cross-platform result triage
tooling,local_readiness_runner_policy,pass,"local readiness runner refreshes A100/V100/H100 package audits, gap reports, goal readiness, and dashboard with tag and active-SM override support",ok,scripts/run_local_readiness_checks.sh,fix scripts/run_local_readiness_checks.sh before using it to triage external platform result packages
rtx3090,strict_required_components,pass,"Tensor, Shared, Global L1, L2 strict rows",ok,results/summary/rtx3090_strict_scope_fresh_ncu_component_coefficients_20260714.csv,do not report a component table until all required strict rows exist
rtx3090,strict_power_policy,pass,accepted rows use total-energy delta and GPU/device scope,ok,results/summary/rtx3090_strict_scope_fresh_ncu_component_coefficients_20260714.csv,recompute or remove rows that violate the power measurement matrix
rtx3090,strict_control_protocol,pass,current Tensor/Shared/address-control treatment-control pairs,ok,results/summary/rtx3090_strict_scope_fresh_ncu_component_coefficients_20260714.csv,rerun the RTX 3090 20260712 command package; historical clocked_empty Global L1/L2 rows are not current strict evidence
rtx3090,strict_summary_audit_clean,pass,0 fail and 0 warning rows,"rows=193, failures=0, warnings=0",results/summary/rtx3090_strict_scope_fresh_ncu_component_summary_audit_20260714.csv,inspect strict summary audit before treating RTX 3090 as accepted
rtx3090,fresh_ncu_reliability,pass,"Tensor, Shared, Global L1, and L2 accepted with fresh NCU","accepted=4, rejected=0",results/summary/rtx3090_component_finalplan_20260714_component_reliability_audit.csv,inspect fresh NCU reliability before replacing or publishing strict coefficients
rtx3090,fresh_ncu_acceptance,pass,fresh accepted NCU rows for tensor/control/shared/L1/L2 paths,ok,results/summary/rtx3090_component_finalplan_20260714_ncu_acceptance.csv,rerun failed NCU path cases with matching W_SM/blocks/SM/factors
v100,platform_command_package,pass,"generated finalplan shell/markdown package with power API, power-state, NCU, reliability, and strict summary gates",ok,results/summary/v100_component_finalplan_20260714_commands.sh;results/summary/v100_component_finalplan_20260714_command_plan.md,run scripts/plan_platform_component_experiment.py for the target profile and inspect the generated shell before node execution
a100,platform_command_package,pass,"generated finalplan shell/markdown package with power API, power-state, NCU, reliability, and strict summary gates",ok,results/summary/a100_component_finalplan_20260714_commands.sh;results/summary/a100_component_finalplan_20260714_command_plan.md,run scripts/plan_platform_component_experiment.py for the target profile and inspect the generated shell before node execution
h100,platform_command_package,pass,"generated finalplan shell/markdown package with power API, power-state, NCU, reliability, and strict summary gates",ok,results/summary/h100_component_finalplan_20260714_commands.sh;results/summary/h100_component_finalplan_20260714_command_plan.md,run scripts/plan_platform_component_experiment.py for the target profile and inspect the generated shell before node execution
v100,platform_result_manifest,pass,CSV and Markdown transfer manifest exists with package audit instructions and profile-specific build/binary metadata,ok,results/summary/v100_component_finalplan_20260714_result_manifest.csv;results/summary/v100_component_finalplan_20260714_result_manifest.md,run scripts/write_platform_result_manifest.py for the target profile/tag before transferring external platform results
